bus_internal,role,area_id,is_data_center
0,LOAD,0,False
1,LOAD,0,True
2,LOAD,0,True
3,LOAD,3,True
4,LOAD,2,False
5,LOAD,0,False
6,LOAD,0,False
7,LOAD,1,False
8,LOAD,2,False
9,LOAD,2,False
10,LOAD,0,False
11,LOAD,2,False
12,GEN,0,False
13,LOAD,0,False
14,LOAD,0,False
15,LOAD,1,False
16,LOAD,0,False
17,GEN,0,False
18,LOAD,0,False
19,LOAD,2,False
20,GEN,3,False
21,LOAD,3,False
22,GEN,0,False
23,GEN,3,False
24,LOAD,0,False
25,LOAD,0,False
26,LOAD,3,False
27,LOAD,0,False
28,LOAD,1,False
29,LOAD,3,False
30,GEN,1,False
31,GEN,0,False
32,LOAD,1,False
33,LOAD,0,False
34,LOAD,0,False
35,GEN,1,False
36,LOAD,0,False
37,GEN,2,False
38,LOAD,0,False
39,LOAD,0,False
40,LOAD,0,False
41,GEN,0,False
42,LOAD,1,False
43,LOAD,0,False
44,LOAD,0,False
45,LOAD,2,False
